target_token,recall,precision,f1,rel_freq
dả,0.0,-1.0,-1.0,3.148991378061607e-05
有孚,1.0,1.0,1.0,
光亨,1.0,1.0,1.0,
利涉大川,1.0,1.0,1.0,
tửu,0.0,0.0,-1.0,0.1906519065190652
tụngcòn,0.0,-1.0,-1.0,
tungcon,-1.0,0.0,-1.0,
訟,1.0,1.0,1.0,
sõng,0.0,-1.0,-1.0,
trất,0.0,-1.0,-1.0,0.0213004484304932
窒,1.0,1.0,1.0,
惕,1.0,1.0,1.0,
中吉,1.0,1.0,1.0,
終凶,1.0,1.0,1.0,
不利涉大川,1.0,1.0,1.0,
sỉ,0.25,1.0,0.4,0.0063697437173426
vã,0.0,-1.0,-1.0,0.000527547260581
師,1.0,1.0,1.0,1.0
trượng,0.0,-1.0,-1.0,0.0058699090926416
丈人吉,1.0,1.0,1.0,
无,1.0,1.0,1.0,1.0
truông,0.0,-1.0,-1.0,0.000476453660117
caldera,1.0,1.0,1.0,1.0
santiago,1.0,1.0,1.0,1.0
hanga,1.0,1.0,1.0,
roa,1.0,1.0,1.0,1.0
poike,1.0,1.0,1.0,
rano,1.0,1.0,1.0,1.0
terevaka,1.0,1.0,1.0,
moai,1.0,1.0,1.0,1.0
valparaíso,1.0,1.0,1.0,0.875
beatrix,1.0,1.0,1.0,0.9
tejas,1.0,1.0,1.0,
brazos,1.0,1.0,1.0,1.0
jacinto,1.0,1.0,1.0,1.0
santa,1.0,1.0,1.0,0.9952038369304556
virginia,1.0,1.0,1.0,1.0
antonio,1.0,0.8,0.888888888888889,0.9037037037037036
navarro,1.0,1.0,1.0,1.0
austin,1.0,1.0,1.0,1.0
dwight,1.0,1.0,1.0,1.0
eisenhower,1.0,1.0,1.0,1.0
denison,1.0,1.0,1.0,1.0
lyndon,1.0,1.0,1.0,1.0
baines,1.0,1.0,1.0,1.0
johnson,1.0,1.0,1.0,0.996138996138996
stonewall,1.0,1.0,1.0,1.0
sbbc,1.0,1.0,1.0,
kiloparsec,1.0,1.0,1.0,1.0
luca,1.0,1.0,1.0,1.0
pasquini,1.0,1.0,1.0,
piercarlo,1.0,1.0,1.0,
bonifacio,1.0,1.0,1.0,0.9375
randich,1.0,1.0,1.0,
daniele,1.0,1.0,1.0,1.0
galli,1.0,1.0,1.0,1.0
raffaele,1.0,1.0,1.0,1.0
gratton,1.0,1.0,1.0,
berili,1.0,1.0,1.0,1.0
ngc,1.0,1.0,1.0,1.0
andromeda,1.0,1.0,1.0,1.0
